"Code du département";"Libellé du département";"Code de la circonscription";"Inscrits";"Abstentions";"Votants";"Blancs";"Nuls";"Exprimés";"N°Liste 1";"Nuance Liste 1";"Libellé Abrégé Liste 1";"Libellé Etendu Liste 1";"Nom Tête de Liste 1";"Voix 1";"N°Liste 2";"Nuance Liste 2";"Libellé Abrégé Liste 2";"Libellé Etendu Liste 2";"Nom Tête de Liste 2";"Voix 2";"N°Liste 3";"Nuance Liste 3";"Libellé Abrégé Liste 3";"Libellé Etendu Liste 3";"Nom Tête de Liste 3";"Voix 3";"N°Liste 4";"Nuance Liste 4";"Libellé Abrégé Liste 4";"Libellé Etendu Liste 4";"Nom Tête de Liste 4";"Voix 4"
1;"AIN";1;80640;32503;48137;872;745;46520;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";16101;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";18091;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";12328;;;;;;
1;"AIN";2;90376;37527;52849;864;557;51428;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";16010;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";20329;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";15089;;;;;;
1;"AIN";3;74113;35404;38709;691;547;37471;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";12749;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";16222;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";8500;;;;;;
1;"AIN";4;87227;36366;50861;919;812;49130;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";14586;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";19774;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";14770;;;;;;
1;"AIN";5;74354;32722;41632;803;725;40104;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";12659;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";15023;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";12422;;;;;;
2;"AISNE";1;72089;27543;44546;2462;1405;40679;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";21975;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";18704;;;;;;;;;;;;
2;"AISNE";2;73587;25561;48026;1989;1256;44781;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";26615;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";18166;;;;;;;;;;;;
2;"AISNE";3;68452;25886;42566;1907;1636;39023;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";19531;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";19492;;;;;;;;;;;;
2;"AISNE";4;79046;32718;46328;1995;1208;43125;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";22884;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";20241;;;;;;;;;;;;
2;"AISNE";5;81584;31700;49884;2292;1297;46295;6;"LUD";"AVEC XAVIER BERTRAND";"Avec Xavier Bertrand notre région au travail";"BERTRAND Xavier";23984;2;"LFN";"UNE RÉGION FIÈRE";"UNE RÉGION FIÈRE ET ENRACINÉE";"LE PEN Marine";22311;;;;;;;;;;;;
3;"ALLIER";1;90041;37132;52909;1176;1383;50350;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";19273;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";19792;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";11285;;;;;;
3;"ALLIER";2;85124;36676;48448;1162;1301;45985;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";17626;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";18444;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";9915;;;;;;
3;"ALLIER";3;78540;32294;46246;982;1087;44177;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";14272;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";19203;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";10702;;;;;;
4;"ALPES DE HAUTE PROVENCE";1;60987;22587;38400;3018;1653;33729;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";18439;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";15290;;;;;;;;;;;;
4;"ALPES DE HAUTE PROVENCE";2;64787;24417;40370;3372;1806;35192;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";20112;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";15080;;;;;;;;;;;;
5;"HAUTES ALPES";1;57315;21106;36209;3247;1546;31416;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";18610;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";12806;;;;;;;;;;;;
5;"HAUTES ALPES";2;51597;18476;33121;3119;1219;28783;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";18257;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";10526;;;;;;;;;;;;
6;"ALPES MARITIMES";1;83504;33867;49637;1835;921;46881;6;"LUD";"CA VA CHANGER";"Ca Va Changer";"ESTROSI Christian";30509;5;"LFN";"LA FRANCE PLEIN SUD !";"La France plein Sud !";"MARÉCHAL-LE PEN Marion";16372;;;;;;;;;;;;
